team,opponent,result
West Bromwich Albion,Burnley,D
Tottenham Hotspur,Brighton,W
Fulham,Sheffield Utd,W
Newcastle United,Burnley,D
Burnley,Aston Villa,L
Newcastle United,Norwich City,W
Bournemouth,Nott'ham Forest,D
Liverpool,Watford,W
West Ham United,Wolves,W
Chelsea,Everton,L
Arsenal,Everton,W
Nottingham Forest,Everton,L
Sheffield United,Nott'ham Forest,L
Nottingham Forest,Burnley,D
Leeds United,Chelsea,L
West Ham United,Manchester City,D
Everton,Newcastle Utd,L
Burnley,Chelsea,L
Wolverhampton Wanderers,Brighton,W
Tottenham Hotspur,Newcastle Utd,L
Arsenal,Aston Villa,L
Chelsea,Burnley,D
Newcastle United,Liverpool,D
Liverpool,Crystal Palace,W
Tottenham Hotspur,Everton,D
Manchester United,Chelsea,D
Wolverhampton Wanderers,Aston Villa,W
Liverpool,West Brom,D
Newcastle United,Leicester City,W
Wolverhampton Wanderers,West Ham,L
Norwich City,Manchester City,L
Newcastle United,Manchester Utd,L
Newcastle United,Sheffield Utd,L
Crystal Palace,Aston Villa,L
Sheffield United,Leicester City,L
Sheffield United,Burnley,W
Chelsea,Everton,L
Brighton and Hove Albion,Sheffield Utd,L
Burnley,Tottenham,L
Burnley,West Ham,L
Brentford,Burnley,W
Crystal Palace,Wolves,D
Brighton and Hove Albion,West Ham,D
Brentford,Fulham,D
Southampton,Everton,W
Aston Villa,Arsenal,W
Manchester United,Wolves,W
Burnley,Crystal Palace,L
Wolverhampton Wanderers,Manchester Utd,L
Sheffield United,Fulham,D
West Bromwich Albion,Brighton,D
Watford,Brentford,L
Leicester City,Everton,L
Brighton and Hove Albion,Brentford,D
Arsenal,Brighton,L
Southampton,Liverpool,L
Aston Villa,Crystal Palace,L
Sheffield United,Burnley,W
Sheffield United,Everton,L
Southampton,Fulham,L
Tottenham Hotspur,Everton,D
Arsenal,Tottenham,W
Sheffield United,Wolves,L
Brighton and Hove Albion,Leeds United,W
Newcastle United,Everton,L
Newcastle United,Liverpool,D
Leeds United,Crystal Palace,W
Liverpool,West Brom,W
Bournemouth,Tottenham,L
Liverpool,Everton,D
Fulham,West Ham,L
Crystal Palace,Tottenham,L
Tottenham Hotspur,Brentford,W
Manchester United,Crystal Palace,W
Wolverhampton Wanderers,Newcastle Utd,D
Tottenham Hotspur,Wolves,L
Manchester United,Liverpool,L
Everton,Wolves,L
Sheffield United,West Brom,L
Manchester United,Arsenal,D
Burnley,West Ham,D
Burnley,Bournemouth,W
West Bromwich Albion,Wolves,D
Fulham,Aston Villa,W
Sheffield United,Brighton,D
Crystal Palace,Southampton,W
Burnley,Liverpool,W
Brighton and Hove Albion,Watford,D
Leicester City,West Ham,L
Leicester City,Fulham,L
Wolverhampton Wanderers,Liverpool,L
Fulham,Burnley,D
Bournemouth,Tottenham,D
Burnley,Newcastle Utd,L
Burnley,Arsenal,W
Leicester City,Wolves,W
Wolverhampton Wanderers,Brighton,L
West Ham United,Crystal Palace,W
Liverpool,Luton Town,D
Manchester United,Wolves,W
Burnley,West Ham,D
Manchester United,Aston Villa,W
Newcastle United,Manchester City,D
Arsenal,Brighton,W
Aston Villa,Newcastle Utd,L
Everton,Sheffield Utd,W
Liverpool,Tottenham,D
Chelsea,Sheffield Utd,W
Crystal Palace,West Ham,W
Leeds United,Leicester City,L
Manchester City,Southampton,W
Liverpool,Newcastle Utd,W
Aston Villa,Everton,W
Tottenham Hotspur,Brighton,L
Leeds United,Fulham,W
Brighton and Hove Albion,Arsenal,W
Wolverhampton Wanderers,Nott'ham Forest,D
Chelsea,Southampton,D
Bournemouth,Everton,W
Nottingham Forest,Brighton,L
Aston Villa,Norwich City,W
Bournemouth,Leicester City,W
Aston Villa,Burnley,W
Chelsea,Aston Villa,D
Newcastle United,Aston Villa,D
Fulham,Leeds United,W
Newcastle United,Leicester City,W
Crystal Palace,Chelsea,L
West Ham United,Brighton,D
Manchester City,Chelsea,W
Burnley,Southampton,L
Leicester City,Arsenal,D
Arsenal,Leicester City,W
Brentford,Norwich City,W
Everton,Newcastle Utd,L
Everton,Arsenal,D
Luton Town,Brentford,L
Norwich City,Wolves,L
Brentford,West Ham,L
Chelsea,Watford,W
Everton,Burnley,W
Norwich City,Tottenham,L
Bournemouth,Everton,W
Wolverhampton Wanderers,Newcastle Utd,D
Wolverhampton Wanderers,Brighton,W
Manchester United,Watford,W
Liverpool,West Ham,W
Brentford,Liverpool,L
Arsenal,Crystal Palace,W
Tottenham Hotspur,Manchester Utd,L
Bournemouth,Liverpool,L
Crystal Palace,West Ham,D
Southampton,West Ham,L
Sheffield United,Chelsea,D
Burnley,Wolves,D
Burnley,Sheffield Utd,W
Leeds United,Manchester Utd,L
Crystal Palace,Newcastle Utd,L
Newcastle United,Leicester City,L
Wolverhampton Wanderers,Crystal Palace,L
Crystal Palace,Newcastle Utd,D
Tottenham Hotspur,Southampton,L
Liverpool,Chelsea,W
Newcastle United,Wolves,W
Leicester City,Manchester Utd,D
Aston Villa,Newcastle Utd,L
Crystal Palace,Sheffield Utd,W
Arsenal,Burnley,D
Leicester City,Aston Villa,L
West Ham United,Norwich City,W
Brentford,Tottenham,D
Fulham,Southampton,L
Burnley,Leeds United,L
Southampton,Arsenal,D
Liverpool,Wolves,W
Southampton,Leicester City,D
Burnley,Newcastle Utd,L
Liverpool,Manchester City,W
Leeds United,Arsenal,L
Leeds United,West Ham,L
Arsenal,Crystal Palace,L
Brighton and Hove Albion,Brentford,L
Burnley,Manchester Utd,L
Burnley,Sheffield Utd,W
Chelsea,Sheffield Utd,L
Burnley,Tottenham,W
Everton,Aston Villa,D
Wolverhampton Wanderers,Aston Villa,W
Brentford,Sheffield Utd,W
Manchester City,Arsenal,W
Sheffield United,Tottenham,L
Crystal Palace,Brighton,W
Tottenham Hotspur,Aston Villa,W
Manchester City,Aston Villa,W
Leicester City,Liverpool,W
Sheffield United,Chelsea,L
Newcastle United,Tottenham,L
West Ham United,Wolves,W
Wolverhampton Wanderers,Newcastle Utd,D
Arsenal,Manchester City,L
Liverpool,West Ham,W
Nottingham Forest,Leeds United,L
Tottenham Hotspur,Southampton,W
Manchester United,Norwich City,W
Wolverhampton Wanderers,West Ham,L
Aston Villa,Fulham,W
Leicester City,Chelsea,W
Southampton,Wolves,D
Brentford,Tottenham,D
Leicester City,Brighton,L
Crystal Palace,Newcastle Utd,L
Southampton,Arsenal,D
Norwich City,Crystal Palace,D
Manchester City,Burnley,W
Tottenham Hotspur,Brentford,W
Arsenal,Crystal Palace,W
Arsenal,Manchester Utd,D
Arsenal,Crystal Palace,D
Bournemouth,Newcastle Utd,W
Manchester United,Everton,W
Southampton,Crystal Palace,W
Southampton,Leicester City,D
Manchester United,Aston Villa,W
Liverpool,Burnley,D
Brentford,Tottenham,L
Newcastle United,Crystal Palace,D
Brighton and Hove Albion,Watford,W
Burnley,Leeds United,L
Manchester United,Leicester City,D
Chelsea,Leicester City,L
Nottingham Forest,Leicester City,L
Brentford,Everton,L
Tottenham Hotspur,Arsenal,L
Manchester United,Tottenham,L
Leeds United,Crystal Palace,W
Arsenal,Newcastle Utd,W
West Ham United,Everton,W
Southampton,Manchester Utd,D
Manchester United,Aston Villa,W
West Bromwich Albion,Brighton,W
Chelsea,Crystal Palace,W
Burnley,Wolves,W
Bournemouth,Aston Villa,D
Manchester City,Tottenham,W
Chelsea,Manchester City,D
Leeds United,Southampton,W
Leicester City,Leeds United,D
Chelsea,Arsenal,D
Brighton and Hove Albion,Aston Villa,D
Aston Villa,Newcastle Utd,L
Arsenal,Newcastle Utd,W
Everton,Sheffield Utd,L
Sheffield United,Leeds United,L
Newcastle United,Nott'ham Forest,W
Everton,Manchester City,L
Norwich City,Aston Villa,L
Aston Villa,Burnley,D
Bournemouth,Liverpool,L
Arsenal,Fulham,D
Aston Villa,Burnley,W
Sheffield United,Chelsea,D
Liverpool,Aston Villa,D
Manchester City,Liverpool,L
Tottenham Hotspur,Burnley,D
Chelsea,West Ham,L
Manchester City,Arsenal,W
Fulham,Manchester City,L
Wolverhampton Wanderers,Fulham,W
Newcastle United,Liverpool,L
Bournemouth,Manchester City,L
Newcastle United,West Brom,D
Tottenham Hotspur,Leeds United,W
Luton Town,Manchester City,L
Leicester City,Wolves,D
Bournemouth,Brentford,L
Sheffield United,Fulham,L
West Ham United,Crystal Palace,D
Tottenham Hotspur,West Ham,D
West Ham United,Manchester Utd,L
Everton,Leeds United,W
Leicester City,Southampton,D
West Bromwich Albion,Fulham,L
Burnley,Everton,L
Newcastle United,Manchester City,L
Burnley,Southampton,L
Aston Villa,Crystal Palace,W
Crystal Palace,Bournemouth,L
Tottenham Hotspur,West Ham,D
Crystal Palace,Liverpool,L
Wolverhampton Wanderers,Liverpool,L
Aston Villa,Crystal Palace,W
Chelsea,Leicester City,D
Brighton and Hove Albion,Tottenham,L
Leeds United,Liverpool,L
Tottenham Hotspur,Leicester City,W
Chelsea,Luton Town,W
Chelsea,Aston Villa,W
Newcastle United,Aston Villa,W
Leicester City,Wolves,D
Southampton,Fulham,L
Manchester City,Sheffield Utd,W
Southampton,Chelsea,L
West Ham United,West Brom,W
Arsenal,Tottenham,W
Aston Villa,Sheffield Utd,D
Everton,West Ham,D
West Ham United,Leeds United,D
Manchester United,Fulham,W
Manchester City,Sheffield Utd,W
West Bromwich Albion,Fulham,D
Aston Villa,Brighton,W
Everton,Chelsea,W
Southampton,Chelsea,D
Brighton and Hove Albion,Leicester City,D
Everton,Crystal Palace,D
Everton,Wolves,W
Newcastle United,Chelsea,W
Leeds United,Norwich City,W
Crystal Palace,Fulham,D
Leeds United,Brighton,D
Crystal Palace,Arsenal,D
Everton,Wolves,W
Everton,Leeds United,L
Manchester United,Wolves,W
Brentford,Burnley,W
Nottingham Forest,Bournemouth,D
Brentford,Manchester Utd,W
Everton,Burnley,L
Chelsea,Everton,D
Tottenham Hotspur,West Ham,W
Arsenal,Manchester City,W
Liverpool,Everton,L
Sheffield United,Liverpool,L
Fulham,Manchester City,L
Luton Town,Nott'ham Forest,D
Burnley,Leicester City,D
Manchester City,Leicester City,W
Sheffield United,Arsenal,L
Everton,Fulham,W
Nottingham Forest,Bournemouth,D
Newcastle United,Aston Villa,L
Bournemouth,Southampton,W
Leicester City,Wolves,D
Manchester United,Leicester City,W
Burnley,Southampton,W
Arsenal,Leicester City,D
Everton,Newcastle Utd,L
Leeds United,Fulham,L
Wolverhampton Wanderers,Southampton,D
Newcastle United,Luton Town,D
Chelsea,Aston Villa,W
Newcastle United,Burnley,W
Crystal Palace,Liverpool,L
Bournemouth,Southampton,L
Leicester City,West Brom,W
Bournemouth,Brentford,D
Southampton,Leeds United,L
Leeds United,Brighton,L
West Ham United,Arsenal,L
Wolverhampton Wanderers,Liverpool,L
Brentford,Nott'ham Forest,D
Nottingham Forest,Arsenal,L
Brentford,Aston Villa,D
Wolverhampton Wanderers,Leicester City,D
Tottenham Hotspur,Liverpool,W
Manchester United,West Ham,W
Manchester United,Everton,W
Manchester United,Sheffield Utd,W
Sheffield United,Crystal Palace,L
Manchester City,Leicester City,W
Everton,Burnley,W
Aston Villa,Manchester Utd,L
Leicester City,Southampton,L
Leicester City,Leeds United,W
Manchester City,Brighton,W
Manchester United,Crystal Palace,L
Tottenham Hotspur,Leicester City,L
Everton,West Ham,L
Aston Villa,Southampton,L
West Bromwich Albion,West Ham,L
Tottenham Hotspur,Aston Villa,W
Brentford,Leeds United,W
Wolverhampton Wanderers,Crystal Palace,L
Tottenham Hotspur,Wolves,L
Crystal Palace,Manchester City,L
Fulham,Leeds United,L
West Ham United,Chelsea,L
Wolverhampton Wanderers,Nott'ham Forest,D
Leeds United,West Ham,W
West Ham United,West Brom,W
West Ham United,Arsenal,L
Fulham,Chelsea,D
Sheffield United,Burnley,L
Bournemouth,Fulham,W
Fulham,Everton,W
Manchester United,Leicester City,L
